Country,Year,Life expectancy
Gambia,2013,60.6245226902441
Gambia,2012,60.43309361560747
Gambia,2011,59.71970520691034
Gambia,2010,59.3404657694748
Georgia,2015,76.21994640779756
Georgia,2014,75.66083586735046
Georgia,2013,75.36082846325259
Georgia,2012,75.0500552935703
Georgia,2011,74.58706799015448
Georgia,2010,74.78698037725496
Ghana,2015,63.96959193643373
Ghana,2014,64.11438695699171
Ghana,2013,63.70660390793372
Ghana,2012,63.382009675180214
Ghana,2011,62.80351234419983
Ghana,2010,62.19267953487608
Guinea,2015,58.50130252828027
Guinea,2014,58.56269707415025
Guinea,2013,58.26287401698282
Guinea,2012,57.71830921545529
Guinea,2011,57.620943948503296
Guinea,2010,57.022497247650136
Guinea-Bissau,2015,57.051017732392786
Guinea-Bissau,2014,57.07513571644543
Guinea-Bissau,2013,56.40480999276751
Guinea-Bissau,2012,55.87512284171049
Guinea-Bissau,2011,55.14727509837066
Guinea-Bissau,2010,54.73639853099853
Haiti,2015,65.09741363235038
Haiti,2014,64.80737339521534
Haiti,2013,64.12035021731742
Haiti,2012,63.51533556135962
Haiti,2011,63.504318746061884
Haiti,2010,60.81277275515407
Hungary,2015,76.62658994460823
Hungary,2014,76.6373325494537
Hungary,2013,75.40574126735721
Hungary,2012,75.0829289765566
Hungary,2011,74.95712728654868
Hungary,2010,74.58322239168008
Jamaica,2015,76.68018549175643
Jamaica,2014,76.50701547671032
Jamaica,2013,76.12855385570543
Jamaica,2012,75.96171830652116
Jamaica,2011,75.6697300068874
Jamaica,2010,75.37302086927463
Jordan,2015,75.34597088076764
Jordan,2014,75.2877778281554
Jordan,2013,75.03315923593026
Jordan,2012,74.67618495969306
Jordan,2011,74.39620604020777
Jordan,2010,74.13324540702298
Latvia,2015,75.29004350297768
Latvia,2014,75.34895009583973
Latvia,2013,74.20979841141923
Latvia,2012,74.61295041227002
Latvia,2011,73.74890172382888
Latvia,2010,73.63041132986588
Lebanon,2015,75.99745908885784
Lebanon,2014,75.90170883390608
Lebanon,2013,75.62469078506027
Lebanon,2012,75.29979901105405
Lebanon,2011,75.03307428995033
Lebanon,2010,74.76604260335108
Lithuania,2015,76.42213718845792
Lithuania,2014,75.36637741980735
Lithuania,2013,75.0831242503377
Lithuania,2012,74.76534656734353
Lithuania,2011,74.8174696555057
Lithuania,2010,74.35579533498792
Mali,2015,57.281385063467766
Mali,2014,57.23854225884004
Mali,2013,56.607310587094986
Mali,2012,56.81718242628238
Mali,2011,56.19683245803438
Mali,2010,55.868503416498584
Malta,2015,82.2850122236768
Malta,2014,82.23763803053345
Malta,2013,81.27967282384198
Malta,2012,81.06624978552885
Malta,2011,81.06242888761847
Malta,2010,80.48917274966156
Namibia,2015,66.32250253186774
Namibia,2014,66.1959714676581
Namibia,2013,65.91524388733524
Namibia,2012,65.19620542177435
Namibia,2011,63.92661233716786
Namibia,2010,63.07558203554946
Netherlands,2015,84.29115037066761
Netherlands,2014,84.64573456494341
Netherlands,2013,83.49680115289718
Netherlands,2012,83.51960416079089
Netherlands,2011,83.92176143516147
Netherlands,2010,82.98925307164421
Norway,2015,85.26883541110068
Norway,2014,84.72078528534935
Norway,2013,84.4359920351674
Norway,2012,84.28192776254588
Norway,2011,83.92519376923744
Norway,2010,83.89417735572475
Poland,2015,78.30818378312802
Poland,2014,77.61580503403518
Poland,2013,77.14713655099963
Poland,2012,76.79716443546975
Poland,2011,76.51449768948663
Poland,2010,76.33315414304373
Portugal,2015,81.60804037288547
Portugal,2014,80.69189626246887
Portugal,2013,80.36329649328496
Portugal,2012,79.94521357715239
Portugal,2011,80.1638520237664
Portugal,2010,79.86062134049223
Republic of Moldova,2015,71.66897731519869
Republic of Moldova,2014,70.60613890495775
Republic of Moldova,2013,70.28421957519885
Republic of Moldova,2012,69.99549022349721
Republic of Moldova,2011,70.39939651799519
Republic of Moldova,2010,68.83238913862776
Samoa,2015,75.54298864768498
Samoa,2014,75.54263552872578
Samoa,2013,75.72625005246067
Samoa,2012,75.0613302068109
Samoa,2011,74.33985526850627
Samoa,2010,74.25339547845905
Sierra Leone,2015,48.02608029746624
Sierra Leone,2014,47.60653828156593
Sierra Leone,2013,47.67675760764916
Sierra Leone,2012,47.035481312955596
Sierra Leone,2011,46.158452879408095
Sierra Leone,2010,46.33331858292067
Suriname,2015,71.70689732132823
Suriname,2014,71.32336980889106
Suriname,2013,71.0588525840947
Suriname,2012,70.58839518640787
Suriname,2011,70.60670234486771
Suriname,2010,70.4994936178389
Syrian Arab Republic,2015,75.07696332174837
Syrian Arab Republic,2014,75.5553011424472
Syrian Arab Republic,2013,75.5318629653798
Syrian Arab Republic,2012,75.66352848981501
Syrian Arab Republic,2011,74.99617329300816
Syrian Arab Republic,2010,74.4239811903148
United States of America,2015,81.44740688756613
United States of America,2014,80.10890321297875
United States of America,2013,79.84515918892494
United States of America,2012,80.20463338007033
United States of America,2011,79.30804273214625
United States of America,2010,78.9943598421378
Zambia,2015,57.626617633384484
Zambia,2014,57.81744382180812
Zambia,2013,57.17566126238471
Zambia,2012,56.18193219687246
Zambia,2011,55.921969509357
Zambia,2010,55.029594472206156
